Estado;Regiao;Municipio;Subsecao_Judiciaria TRF;Atuacao_DPU;DPU_Presencial;DPU_Remoto
MINAS GERAIS;SUDESTE;ROCHEDO DE MINAS_MG;JUIZ DE FORA;SIM;SIM;SIM
MINAS GERAIS;SUDESTE;BELO VALE_MG;BELO HORIZONTE;SIM;SIM;SIM
RIO GRANDE DO SUL;SUL;CERRO GRANDE_RS;CARAZINHO;SIM;SIM;SIM
PARANA;SUL;AGUDOS DO SUL_PR;CURITIBA;SIM;SIM;SIM
ESPIRITO SANTO;SUDESTE;GOVERNADOR LINDENBERG_ES;COLATINA;SIM;SIM;SIM
MINAS GERAIS;SUDESTE;SAO ROMAO_MG;MONTES CLAROS;SIM;SIM;SIM
PERNAMBUCO;NORDESTE;LIMOEIRO_PE;RECIFE;SIM;SIM;SIM
PARANA;SUL;ALTO PARAISO_PR;UMUARAMA;SIM;SIM;SIM
MARANHAO;NORDESTE;TRIZIDELA DO VALE_MA;SAO LUIS;SIM;SIM;SIM
MINAS GERAIS;SUDESTE;MANTENA_MG;GOVERNADOR VALADARES;SIM;SIM;SIM
MARANHAO;NORDESTE;PRESIDENTE DUTRA_MA;SAO LUIS;SIM;SIM;SIM
BAHIA;NORDESTE;ILHEUS_BA;ILHEUS;SIM;SIM;SIM
PARANA;SUL;MARILUZ_PR;UMUARAMA;SIM;SIM;SIM
GOIAS;CENTRO-OESTE;LEOPOLDO DE BULHOES_GO;GOIANIA;SIM;SIM;SIM
MINAS GERAIS;SUDESTE;CIPOTANEA_MG;BELO HORIZONTE;SIM;SIM;SIM
PARANA;SUL;CRUZEIRO DO SUL_PR;UMUARAMA;SIM;SIM;SIM
BAHIA;NORDESTE;PINTADAS_BA;FEIRA DE SANTANA;SIM;SIM;SIM
MINAS GERAIS;SUDESTE;ESMERALDAS_MG;BELO HORIZONTE;SIM;SIM;SIM
PARAIBA;NORDESTE;GUARABIRA_PB;GUARABIRA;SIM;SIM;SIM
PARANA;SUL;ALTO PIQUIRI_PR;UMUARAMA;SIM;SIM;SIM
PARAIBA;NORDESTE;SANTA LUZIA_PB;PATOS;SIM;SIM;SIM
PIAUI;NORDESTE;BOCAINA_PI;PICOS;SIM;SIM;SIM
PIAUI;NORDESTE;SUSSUAPARA_PI;PICOS;SIM;SIM;SIM
PARANA;SUL;CAMPO BONITO_PR;CASCAVEL;SIM;SIM;SIM
