cod. ibge;Municipio;Familias;Pessoas;% relativo ao Censo 2022;IVCAD;NC;DPI;DCA;TQA;DR;CH
1700707;Alvorada;2.492;5.433;61,70%;0,287;0,379;0,098;0,056;0,657;0,385;0,145
1100346;Alvorada D'Oeste;3.305;8.145;62,10%;0,273;0,367;0,111;0,056;0,655;0,304;0,147
3102407;Alvorada de Minas;1.295;3.178;76,40%;0,3;0,356;0,091;0,013;0,675;0,436;0,232
2200459;Alvorada do Gurguéia;2.038;4.917;92,40%;0,316;0,309;0,065;0,039;0,707;0,479;0,298
5200803;Alvorada do Norte;2.465;5.641;66,80%;0,275;0,342;0,078;0,07;0,664;0,301;0,195
4100806;Alvorada do Sul;1.922;4.403;42,60%;0,283;0,412;0,047;0,039;0,66;0,381;0,157
1400027;Amajari;3.100;8.532;61,30%;0,317;0,404;0,136;0,062;0,606;0,433;0,263
5000609;Amambai;12.203;26.755;68,00%;0,326;0,335;0,085;0,056;0,702;0,445;0,332
1600105;Amapá;2.828;6.791;85,50%;0,333;0,346;0,108;0,069;0,671;0,515;0,288
2100550;Amapá do Maranhão;2.570;6.357;88,70%;0,306;0,328;0,062;0,111;0,67;0,441;0,226
4100905;Amaporã;1.345;2.983;62,60%;0,264;0,385;0,083;0,033;0,624;0,33;0,127
2600906;Amaraji;6.565;14.159;77,80%;0,293;0,311;0,072;0,066;0,717;0,432;0,157
4300638;Amaral Ferrador;803;2.044;38,50%;0,294;0,306;0,081;0,042;0,695;0,463;0,175
5200829;Amaralina;1.077;2.489;76,20%;0,264;0,302;0,071;0,054;0,653;0,31;0,195
2200509;Amarante;5.488;13.068;75,80%;0,3;0,314;0,065;0,038;0,685;0,463;0,234
2100600;Amarante do Maranhão;8.753;28.437;76,70%;0,324;0,395;0,11;0,097;0,702;0,41;0,232
2901007;Amargosa;11.047;25.583;70,10%;0,255;0,297;0,054;0,042;0,643;0,362;0,134
1300060;Amaturá;4.200;10.841;100,20%;0,285;0,359;0,099;0,03;0,668;0,418;0,137
2901106;Amélia Rodrigues;6.598;14.988;62,10%;0,246;0,317;0,042;0,023;0,605;0,347;0,144
2901155;América Dourada;5.040;13.033;86,10%;0,278;0,309;0,054;0,062;0,651;0,422;0,172
3501608;Americana;16.394;38.766;16,30%;0,267;0,441;0,078;0,024;0,586;0,358;0,113
5200852;Americano do Brasil;1.229;2.883;54,80%;0,272;0,389;0,099;0,033;0,635;0,337;0,136
3501707;Américo Brasiliense;4.111;9.418;28,50%;0,28;0,392;0,062;0,039;0,612;0,438;0,134
3501806;Américo de Campos;1.068;2.279;38,80%;0,283;0,364;0,073;0,069;0,647;0,446;0,099
4300646;Ametista do Sul;1.463;3.480;45,50%;0,304;0,391;0,087;0,064;0,662;0,367;0,25
2300754;Amontada;12.692;32.838;77,90%;0,295;0,327;0,08;0,061;0,645;0,413;0,247
5200902;Amorinópolis;1.018;1.995;66,30%;0,289;0,326;0,064;0,038;0,67;0,472;0,163
3501905;Amparo;5.647;14.494;21,30%;0,267;0,44;0,077;0,031;0,599;0,29;0,167
2500734;Amparo;1.001;2.261;101,20%;0,263;0,267;0,054;0,023;0,621;0,459;0,156
2800100;Amparo de São Francisco;730;1.866;86,00%;0,256;0,312;0,056;0,095;0,611;0,341;0,119
3102506;Amparo do Serra;1.320;2.817;62,00%;0,311;0,278;0,076;0,039;0,685;0,454;0,333
4101002;Ampére;2.666;6.312;32,20%;0,232;0,442;0,122;0,04;0,577;0,103;0,106
2700201;Anadia;5.280;10.591;75,80%;0,31;0,292;0,082;0,067;0,755;0,484;0,178
2901205;Anagé;8.918;17.546;69,00%;0,347;0,229;0,052;0,06;0,767;0,484;0,491
4101051;Anahy;761;1.713;58,70%;0,281;0,371;0,072;0,067;0,616;0,333;0,226
1500701;Anajás;9.812;30.779;109,90%;0,392;0,411;0,146;0,105;0,749;0,51;0,429
2100709;Anajatuba;8.284;18.571;73,30%;0,294;0,271;0,06;0,036;0,653;0,488;0,255
3502002;Analândia;740;1.802;39,30%;0,272;0,405;0,061;0,056;0,598;0,407;0,106
1300086;Anamã;3.527;10.081;101,20%;0,323;0,37;0,118;0,041;0,641;0,511;0,257
1701002;Ananás;3.144;7.483;72,50%;0,293;0,366;0,099;0,07;0,641;0,416;0,168
1500800;Ananindeua;106.092;237.867;49,70%;0,255;0,346;0,084;0,043;0,581;0,346;0,13
5201108;Anápolis;62.856;150.926;37,80%;0,244;0,45;0,136;0,055;0,559;0,168;0,097
1500859;Anapu;11.077;27.512;86,40%;0,346;0,365;0,126;0,092;0,708;0,491;0,297
2100808;Anapurus;5.161;13.572;98,40%;0,334;0,33;0,082;0,072;0,661;0,525;0,336
5000708;Anastácio;6.863;15.216;63,10%;0,262;0,386;0,088;0,063;0,64;0,334;0,062
5000807;Anaurilândia;1.946;4.411;57,60%;0,307;0,38;0,108;0,071;0,664;0,376;0,242
3200409;Anchieta;5.709;14.020;46,80%;0,267;0,383;0,057;0,028;0,619;0,375;0,139
4200804;Anchieta;493;1.382;23,30%;0,27;0,429;0,1;0,087;0,614;0,198;0,195
2901304;Andaraí;4.601;10.004;76,50%;0,269;0,287;0,062;0,018;0,711;0,439;0,1
4101101;Andirá;3.869;8.676;43,60%;0,268;0,369;0,064;0,044;0,619;0,406;0,104
2901353;Andorinha;5.934;11.736;78,20%;0,289;0,256;0,042;0,038;0,689;0,474;0,233
3102605;Andradas;4.915;11.787;29,10%;0,268;0,403;0,102;0,062;0,626;0,264;0,149
