cod. ibge;ano;pib;impostos_liquidos;va;va_agropecuaria;va_industria;va_servicos;va_adespss
3139904;2021;203136;16144;186993;19527;14423;83989;69053
3203304;2021;203075;9121;193954;54083;9230;53821;76819
1400407;2021;202859;3107;199753;39996;6997;21175;131585
2700102;2021;202655;6415;196240;34103;6900;46764;108473
2208205;2021;202627;9981;192646;43737;9746;43626;95537
4206603;2021;202542;21486;181057;35257;44677;68813;32310
2202604;2021;202443;12184;190259;25097;12996;53903;98262
2304301;2021;202248;9012;193236;46355;6239;49617;91025
5208509;2021;202194;12676;189517;52612;44476;64029;28401
2104099;2021;202181;10726;191455;62397;4327;47943;76788
2102903;2021;202040;12337;189703;25672;7578;60293;96160
2414001;2021;201785;19471;182314;5256;18673;64278;94108
2927309;2021;201393;6717;194676;71302;9486;45819;68069
3105004;2021;201277;6577;194700;24133;92324;39328;38915
4219101;2021;200991;18618;182373;60911;35576;61796;24090
5003504;2021;200982;15124;185858;80041;7244;52124;46449
4308656;2021;200966;7732;193234;127993;4530;34145;26566
4113452;2021;200888;15106;185782;83130;10496;61168;30988
2516300;2021;200877;16663;184214;16301;13400;66450;88064
2103174;2021;200805;9339;191466;43306;4558;44135;99468
3151305;2021;200665;17085;183580;22042;33721;75224;52593
1505403;2021;200629;10266;190362;59918;16481;40563;73399
4319307;2021;200547;10492;190056;87915;13699;50195;38247
4107306;2021;200380;15860;184520;62423;13783;75284;33031
2908309;2021;200262;16456;183806;21608;23928;70987;67283
3150802;2021;200178;9421;190757;35574;8114;68423;78646
3536406;2021;200145;10398;189746;32861;24657;87541;44687
2107902;2021;200120;9765;190355;52083;6473;55927;75871
2930303;2021;200071;9861;190210;56761;13736;53086;66627
2932606;2021;199853;21046;178807;27544;26453;58248;66562
4218400;2021;199700;18901;180799;43533;30052;68755;38460
4200606;2021;199557;11944;187613;51585;22261;77952;35814
1303502;2021;199541;5505;194036;37032;7531;32920;116553
3504404;2021;199389;10178;189211;38333;7236;81276;62366
2922102;2021;199233;7412;191821;34805;8707;53313;94996
4304952;2021;199196;19466;179730;80795;9773;65870;23292
4306429;2021;199194;9052;190142;135693;7712;25410;21327
4215653;2021;199062;13748;185314;53004;10613;74668;47030
3104700;2021;199016;11837;187179;50287;23601;53893;59398
3127602;2021;198923;13970;184954;9034;44944;71596;59379
2311355;2021;198820;9405;189415;67571;4256;45199;72389
3523800;2021;198366;11594;186772;65156;17153;71342;33121
2205953;2021;198352;8296;190056;10319;98921;32618;48198
2913408;2021;198335;16523;181811;15361;55453;46834;64163
4322541;2021;198293;21139;177153;28472;60634;50655;37392
5203807;2021;198101;15375;182727;77031;18869;53144;33682
3108909;2021;198032;17310;180722;29319;13927;73687;63790
3140159;2021;198000;15040;182960;15263;13910;82789;70997
4307864;2021;197918;16073;181845;62113;68806;30454;20474
3538501;2021;197854;12291;185563;4666;36176;90118;54603
4307815;2021;197414;9967;187447;111419;4820;41884;29325
5215009;2021;197263;20771;176493;19980;52418;58409;45686
3528106;2021;196952;11139;185813;55945;8254;85914;35700
2607000;2021;196880;11818;185062;21351;7336;48665;107711
3305133;2021;196862;29947;166914;40933;8751;41904;75326
4202131;2021;196838;4981;191858;110209;7114;35097;39438
2106508;2021;196785;10119;186666;31640;9233;51197;94595
2404705;2021;196501;13375;183125;48341;7935;40826;86024
2703007;2021;196463;3793;192670;84563;4256;33905;69946
2112100;2021;196385;9499;186887;12638;7813;52001;114434
4300505;2021;196381;8340;188041;67276;25566;44935;50265
2912301;2021;196349;11424;184925;74880;7810;40406;61829
3518107;2021;196319;13214;183105;64116;22446;60246;36298
4321477;2021;196241;14626;181616;87340;6524;52623;35128
1506559;2021;196168;8557;187611;41040;5778;39843;100950
3107604;2021;196096;15981;180115;84223;13590;56623;25679
4323457;2021;195941;9808;186134;97360;22738;34997;31040
4314134;2021;195869;18149;177720;66393;61249;29248;20830
2606507;2021;195800;6922;188878;46075;3375;41199;98230
3551405;2021;195523;6208;189315;46604;11240;62819;68651
2308351;2021;195290;7429;187861;80564;3688;43137;60472
2306009;2021;195282;9618;185665;45057;7351;56868;76388
3165107;2021;195273;9093;186180;84033;14828;48536;38784
2202091;2021;195079;12298;182781;21853;118332;9834;32763
2506806;2021;194961;12187;182774;7093;15723;56277;103681
3503109;2021;194818;6547;188271;92862;9502;50612;35295
3509809;2021;194705;10739;183966;82321;13826;58714;29105
2902609;2021;194657;9915;184742;25110;13842;60139;85651
2703502;2021;194514;1502;193012;135931;3282;17602;36197
2616209;2021;194511;12704;181807;4660;13584;61490;102073
4110656;2021;194377;9122;185254;124699;6052;37053;17451
2108108;2021;194181;10923;183258;30695;6197;56087;90279
3161304;2021;194087;7713;186374;92870;9492;45776;38235
3135506;2021;193981;9713;184268;56906;8944;57189;61229
3539608;2021;193762;17212;176549;44813;44986;50656;36094
3153905;2021;193699;10107;183592;326;43345;64580;75341
2603900;2021;193546;11073;182473;20365;12023;51998;98087
1708304;2021;193502;6066;187436;90653;33541;24057;39185
3170529;2021;193242;8736;184505;51770;6262;42568;83906
2308906;2021;193204;12663;180541;14053;11036;61542;93911
2303105;2021;193105;8288;184816;54357;8167;42335;79957
4300661;2021;193089;6349;186740;137605;5517;29134;14484
2605608;2021;192902;10784;182117;15377;17149;48180;101411
5216908;2021;192739;13818;178922;42466;85952;29338;21166
2806305;2021;192690;8804;183886;50669;5242;33914;94060
1504976;2021;192605;10073;182533;59161;7798;35571;80003
2200509;2021;192592;12593;180000;18989;18117;53064;89829
3138104;2021;192541;8636;183905;103639;4224;34758;41285
2516904;2021;192520;14726;177795;10425;8862;75103;83405
2926509;2021;192342;5399;186943;82256;8364;31087;65235
2611507;2021;192325;9309;183016;15841;5762;45538;115875
2410900;2021;192158;11856;180302;2108;84834;39733;53626
3100609;2021;192074;9249;182825;56491;7671;54786;63877
2604700;2021;192016;5745;186271;60169;4808;32770;88523
2205201;2021;191771;11213;180558;29134;9328;51145;90951
1721109;2021;191373;3748;187625;104743;5179;17663;60040
2108702;2021;191368;11942;179426;22774;9140;57205;90306
3168507;2021;191322;10086;181236;23939;27370;71442;58485
2700805;2021;191318;1098;190220;137599;4535;17458;30629
2504900;2021;191194;8847;182347;29332;13186;43484;96345
2931509;2021;191165;13682;177482;12556;11334;68081;85511
3543600;2021;191158;15316;175841;36131;40688;70364;28659
2908002;2021;191076;9546;181531;23125;9683;71743;76979
5219704;2021;190835;14137;176698;44728;6116;78468;47386
2311702;2021;190710;11655;179055;22122;14054;62340;80539
3123106;2021;190683;8900;181782;10060;111014;31351;29358
4308854;2021;190647;14180;176467;102371;4869;51921;17305
4311775;2021;190483;13735;176747;36972;34598;62270;42908
2901403;2021;190448;6403;184044;62431;8034;48406;65174
4312302;2021;190385;17931;172454;61065;33760;45073;32555
2103752;2021;190230;16753;173478;14112;27286;62210;69869
4305850;2021;190144;9963;180181;116789;6204;35213;21975
3158904;2021;189846;11090;178757;79543;7944;50624;40646
4117271;2021;189809;10559;179250;91302;5937;45015;36996
4128658;2021;189741;13032;176709;85233;21430;44881;25166
4317756;2021;189468;13305;176164;97950;21846;32868;23500
4211454;2021;189424;22265;167159;42747;55344;40181;28888
2904100;2021;189091;7622;181469;18241;12997;57788;92444
2707602;2021;189051;4307;184744;89767;6363;26747;61868
5107198;2021;188990;8189;180801;133760;5589;19815;21638
4321329;2021;188857;20877;167979;67474;7460;68915;24130
5104906;2021;188785;16440;172345;61526;8283;47608;54928
2802007;2021;188619;4637;183982;7550;95509;34655;46269
3131505;2021;188530;14155;174374;36810;10293;78643;48628
2107407;2021;188405;10062;178343;34631;5319;49650;88743
3168408;2021;188341;8916;179425;27694;7838;73013;70879
2920205;2021;188065;8907;179158;70132;10038;33397;65590
2704807;2021;187982;9175;178807;41596;5812;66022;65377
2924801;2021;187904;11339;176564;26298;9035;59380;81851
4212056;2021;187888;14032;173856;66429;55810;30189;21428
3203163;2021;187688;11558;176130;62445;9954;46527;57205
2705606;2021;187226;2804;184422;86524;4026;26972;66900
3170909;2021;187206;10199;177007;8897;6777;66724;94609
2111763;2021;187168;9209;177959;48776;7335;49216;72632
1507508;2021;186890;9056;177835;70258;10510;24535;72533
3201100;2021;186832;19783;167049;5936;22484;82836;55792
1303205;2021;186533;7029;179505;8945;12583;40621;117357
2609808;2021;186448;10892;175555;50997;7424;35426;81708
3552908;2021;186412;6428;179984;68763;10090;54417;46714
3511904;2021;186411;13262;173149;29695;23717;77579;42158
2311108;2021;186375;8492;177883;50607;8198;44200;74879
